driverId,week,hours-logged,miles-logged
455,14,72,400
57,37,68,1100
256,2,64,3000
63,24,53,3800
108,10,50,1300
469,21,80,2200
207,28,53,1700
885,1,74,500
452,44,50,0
507,25,63,500
886,13,57,3500
565,21,62,2900
235,33,63,400
893,16,80,3900
548,13,65,900
493,46,54,2300
797,20,63,3900
106,51,52,3200
696,52,69,3900
220,49,69,0
686,44,74,900
833,34,50,900
39,20,79,1200
767,10,70,3700
82,42,63,2800
741,26,80,300
179,17,76,100
122,12,52,1200
83,47,80,1800
664,1,76,1200
610,8,70,2500
786,10,56,1900
995,6,58,4000
964,20,61,3200
556,4,64,800
732,13,65,1700
328,18,56,4000
630,44,64,3000
894,13,57,2600
187,48,61,2100
953,24,62,4000
863,12,50,700
847,51,74,2800
228,11,80,1100
413,49,50,100
146,16,50,1900
660,2,61,3800
420,20,79,2900
612,9,68,1100
484,51,62,900
153,20,76,2700
833,11,66,4000
37,10,54,400
687,49,80,1400
842,36,52,800
350,27,58,1600
488,38,51,1400
97,18,74,1000
818,51,66,4000
557,50,53,100
408,15,76,1400
155,51,63,1800
694,14,65,800
929,36,59,3800
487,51,63,2700
958,41,76,600
88,28,59,600
905,3,70,600
287,37,61,2400
470,29,77,700
934,43,76,3800
922,3,65,600
586,5,72,100
642,47,70,1400
338,25,78,400
853,36,53,1100
975,3,71,2900
1007,38,67,0
563,18,72,1000
144,38,77,800
823,51,67,1800
86,4,53,3700
910,6,76,2100
779,30,60,2700
474,15,57,2800
883,44,50,1200
639,1,78,0
131,22,57,400
335,18,50,3100
126,19,54,600
454,15,70,3800
462,20,65,2100
802,51,72,1500
199,33,67,700
641,25,68,1200
423,24,58,1600
931,15,78,2700
335,50,79,2600
79,4,64,2000
252,11,50,400
242,50,70,200
393,25,66,2900
879,27,67,2500
976,24,65,0
208,48,78,3300
741,24,78,1400
638,19,52,1900
490,38,51,3900
97,45,67,3800
42,18,59,3100
75,8,55,3600
487,11,62,900
292,45,79,3000
77,26,53,3000
28,22,51,3600
945,44,52,100
655,37,71,0
375,6,74,2500
439,27,54,300
432,9,80,1400
520,22,54,2100
305,10,79,1100
496,2,53,3400
291,50,52,2200
67,2,58,100
960,43,55,2100
419,41,58,4000
425,50,50,2000
15,5,76,1000
777,22,52,100
361,36,57,2300
959,11,50,700
796,4,69,1300
954,32,61,800
820,8,69,1500
347,29,56,1200
146,46,58,1900
620,26,79,3300
784,2,59,1300
32,23,52,600
495,36,64,2300
290,17,63,3100
544,4,56,2500
332,30,53,3900
755,4,72,4000
808,5,54,900
718,37,56,200
171,44,68,200
324,8,70,1700
236,35,62,2900
841,6,68,2800
18,24,61,3900
816,50,72,2200
671,24,62,2300
823,22,79,3300
418,46,71,300
864,6,77,1100
749,6,66,500
84,35,55,1400
232,47,69,1600
431,12,69,3500
841,21,61,3000
513,33,76,3900
379,8,72,3600
990,33,61,2700
999,26,77,3400
231,23,76,3500
719,49,66,3500
916,32,51,3200
179,11,73,3000
897,45,59,3500
84,1,68,3200
671,3,61,1500
500,12,55,4000
630,41,63,3600
315,41,60,300
351,30,56,200
249,37,51,300
277,35,50,900
265,38,78,1900
544,33,59,3800
563,29,68,1200
427,31,57,3400
162,31,68,1100
57,35,69,500
166,30,66,4000
903,51,66,3700
507,28,52,400
160,23,73,800
568,49,69,1200
599,18,52,1000
960,27,62,3800
128,50,74,3700
135,14,70,300
27,44,70,1400
214,17,63,0
426,2,74,2100
853,25,75,0
517,28,67,200
874,6,53,1900
777,11,60,2700
961,20,77,2600
894,48,64,600
160,47,52,500
424,51,55,1300
352,10,76,1100
781,3,65,2500
40,51,51,3000
649,22,63,800
78,15,73,400
672,12,66,3600
759,36,65,3800
864,15,50,0
33,29,50,3600
827,14,79,3100
742,52,79,600
942,48,55,0
219,49,51,1000
237,50,71,1200
208,48,75,1300
972,4,77,100
137,18,53,3900
797,27,54,1300
367,48,52,2000
383,27,62,500
506,15,57,1400
976,48,58,2000
684,7,64,1400
841,44,61,3000
231,1,56,100
847,51,54,3500
994,17,60,700
881,6,69,1000
265,52,74,2700
463,44,57,3100
309,27,60,3600
36,52,75,1000
685,41,69,400
786,37,74,2000
837,43,52,1500
174,42,53,200
512,39,78,2300
802,49,72,1200
14,22,80,3000
354,45,67,3100
661,35,64,3900
41,50,64,1400
375,24,74,3700
876,31,73,3800
401,4,63,3000
33,42,77,1800
197,52,57,1500
820,1,79,1800
177,10,79,3100
751,51,57,3100
834,4,66,2700
600,28,58,3500
555,33,62,3500
436,52,71,3700
49,50,55,2000
444,38,59,3200
253,32,50,3100
81,3,57,2000
666,44,69,1300
168,47,63,2900
540,9,68,1800
566,11,76,2700
513,45,57,2500
45,46,58,1100
496,34,75,3200
248,24,66,3900
11,51,78,3100
368,2,75,1400
357,31,52,100
923,18,55,1700
808,28,57,3400
470,46,71,4000
302,28,57,1500
391,48,60,800
161,5,78,3900
719,2,52,1800
115,8,56,2100
981,21,72,1700
149,3,73,600
213,39,55,700
550,25,54,2200
92,17,55,1500
829,12,75,2700
886,5,61,3200
224,34,62,1700
260,19,51,1700
728,16,72,1900
727,36,61,2100
517,25,57,300
400,20,79,1100
898,27,64,1300
726,40,77,900
785,20,57,1300
475,13,62,1900
1009,6,72,3100
97,5,77,1400
518,49,66,300
680,48,61,700
914,9,78,3200
882,41,79,2400
380,24,54,1300
430,37,72,1700
108,46,80,1600
610,51,63,1100
838,28,77,3600
195,49,74,2400
869,48,73,2000
427,32,69,1200
441,40,51,1000
369,43,56,3000
164,52,74,3500
675,27,74,1300
561,43,80,2500
395,25,58,0
96,49,67,1900
672,6,65,2400
725,32,61,2600
918,29,63,3200
821,2,78,2900
818,6,55,2000
118,36,59,700
